Date,Product Category,Product Name,Region,Sales Revenue (USD),Units Sold,Customer Segment,Customer Type,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Competitor Influence,Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Product Launch Date,Competitor Product,Market Share (%)
2012-02-06,Data Center,RTX 4090,North America,1512827.39,2664,Gamers,Business,4.6,35355.93,14.0,Medium,1.42,56.0,0.27,86.0,1997-07-07,AMD Radeon RX 6800,56.2
2016-02-16,AI,Quadro P2200,South America,1055308.3,4702,Gamers,Individual,4.0,124542.21,8.0,High,0.37,30.0,0.18,59.0,1997-09-24,AMD Radeon RX 7900,32.01
2013-10-22,Gaming,Tesla T4,Africa,1311304.8,385,Cloud Providers,Individual,3.1,66225.97,21.0,Medium,1.88,67.0,0.14,75.0,2011-08-10,Google TPU,42.48
2020-05-23,Data Center,RTX 4090,APAC,1691559.65,4906,Gamers,Individual,2.9,90255.57,23.0,Low,2.35,33.0,0.1,83.0,2008-06-25,AMD Radeon RX 7900,54.78
2002-12-17,Data Center,Tesla T4,APAC,305221.51,4165,Cloud Providers,Individual,2.4,82527.67,13.0,Low,4.29,26.0,0.18,85.0,2004-10-20,Google TPU,69.35
1999-03-29,AI,Tesla T4,South America,1552974.83,4390,Cloud Providers,Individual,2.6,22278.88,8.0,Medium,3.64,90.0,0.22,71.0,2008-09-15,Google TPU,51.19
1993-04-08,Gaming,RTX 3080,Europe,104433.91,2794,Educational Institutions,Individual,4.3,47145.93,6.0,High,4.99,27.0,0.19,81.0,1999-02-05,AMD Radeon RX 7900,48.01
2013-07-13,OEM,Tesla V100,South America,886702.69,2451,AI Researchers,Business,3.6,144603.95,17.0,High,0.98,33.0,0.22,58.0,2015-08-07,AMD Radeon RX 6800,53.35
1997-11-12,OEM,RTX 3080,APAC,1676669.66,2398,Educational Institutions,Individual,4.1,106380.79,0.0,High,1.99,50.0,0.2,77.0,2017-11-16,AMD Radeon RX 7900,55.28
2002-01-10,Gaming,Tesla T4,APAC,1721602.95,1703,AI Researchers,Business,4.7,148183.54,8.0,High,3.49,20.0,0.19,56.0,2011-05-04,Intel Xeon,32.63
2007-04-12,OEM,RTX 4090,Middle East,1111712.52,3228,Gamers,Individual,5.0,30487.07,0.0,High,4.3,56.0,0.14,56.0,1999-12-17,AMD Radeon RX 6800,44.95
2000-08-05,Gaming,RTX 3080,South America,1810268.75,841,Educational Institutions,Individual,3.5,144670.48,5.0,High,4.77,85.0,0.16,73.0,1996-07-29,Intel Xeon,58.28
2005-11-05,AI,Tesla T4,APAC,103810.02,477,Educational Institutions,Individual,1.5,68592.77,3.0,Low,1.03,45.0,0.07,67.0,2023-09-25,AMD Radeon RX 7900,35.0
2018-06-25,Gaming,Tesla V100,Europe,1536962.96,1828,Gamers,Business,2.0,45328.8,5.0,High,3.95,72.0,0.08,51.0,2013-06-26,AMD Radeon RX 7900,67.13
2005-01-18,Gaming,RTX 3080,South America,512986.4,961,Educational Institutions,Business,2.9,97746.58,6.0,Low,2.77,15.0,0.19,56.0,2024-06-07,AMD Radeon RX 6800,38.85
2015-05-14,Data Center,Tesla T4,South America,1712703.57,774,Educational Institutions,Business,3.2,199785.55,11.0,Medium,1.82,85.0,0.06,89.0,2014-01-17,AMD Radeon RX 6800,39.09
2023-05-23,Gaming,RTX 3080,Europe,192294.2,483,Educational Institutions,Individual,4.1,16273.14,22.0,High,1.42,41.0,0.19,60.0,1998-07-13,Intel Xeon,37.97
1998-09-05,OEM,Tesla T4,North America,1625106.47,435,Gamers,Individual,1.8,137574.43,2.0,High,0.35,23.0,0.1,90.0,2018-06-12,Intel Xeon,30.05
2000-06-21,Data Center,RTX 4090,North America,231209.36,4246,Educational Institutions,Business,2.6,119560.22,3.0,Low,2.96,25.0,0.1,60.0,1997-10-12,AMD Radeon RX 6800,63.86
2015-05-04,OEM,Tesla V100,Middle East,93852.21,3087,Gamers,Business,3.8,90958.09,7.0,Low,4.81,33.0,0.25,80.0,2008-03-03,Google TPU,42.73
2016-12-28,OEM,RTX 3080,North America,926741.56,4441,Gamers,Business,2.8,156859.82,7.0,High,2.39,76.0,0.05,69.0,2004-06-11,Google TPU,37.4
2014-07-01,Gaming,Quadro P2200,Europe,1870976.89,306,Educational Institutions,Individual,2.9,28635.5,14.0,Medium,0.78,51.0,0.05,75.0,2003-02-26,Intel Xeon,54.16
1998-06-11,Data Center,Quadro P2200,APAC,1470984.64,1628,Cloud Providers,Business,3.2,52539.22,7.0,High,0.54,82.0,0.27,72.0,1996-05-10,AMD Radeon RX 6800,69.35
2019-03-26,OEM,Tesla V100,Middle East,543379.47,1794,Gamers,Business,1.5,38941.67,23.0,Medium,2.4,32.0,0.1,57.0,2009-06-20,Google TPU,52.29
1998-10-07,OEM,Tesla V100,Europe,351875.4,798,Cloud Providers,Business,3.8,71183.61,17.0,Low,2.29,77.0,0.09,89.0,1999-04-28,AMD Radeon RX 7900,49.78
2005-03-16,OEM,RTX 3080,North America,63301.4,4999,Cloud Providers,Business,1.8,143648.89,17.0,Low,4.65,69.0,0.07,63.0,2013-09-13,Intel Xeon,48.26
2015-01-28,Gaming,RTX 4090,APAC,273838.06,2891,Cloud Providers,Individual,3.3,139848.16,24.0,Low,4.86,87.0,0.24,55.0,2001-06-02,Intel Xeon,59.0
2006-12-13,Gaming,Quadro P2200,APAC,1522061.86,3745,Educational Institutions,Business,1.2,142109.41,6.0,High,3.78,42.0,0.1,68.0,2006-02-21,Intel Xeon,57.34
1996-11-09,Gaming,RTX 3080,Africa,1284038.68,248,AI Researchers,Individual,3.3,45647.61,17.0,Low,2.61,72.0,0.27,76.0,2015-12-19,Google TPU,60.24
2020-03-09,AI,Tesla T4,North America,1018438.64,439,Gamers,Business,3.3,123418.85,18.0,Low,0.46,34.0,0.08,75.0,2013-01-24,AMD Radeon RX 7900,55.33
2023-07-06,Gaming,Tesla V100,Africa,1337608.36,176,Educational Institutions,Business,2.1,158355.88,12.0,Low,2.61,36.0,0.17,67.0,2024-05-08,AMD Radeon RX 6800,50.57
2018-12-04,Gaming,RTX 3080,Africa,1767114.98,497,Gamers,Individual,3.2,197200.35,24.0,Low,1.55,30.0,0.2,72.0,2021-08-11,Intel Xeon,59.37
2022-10-29,OEM,Tesla T4,North America,597477.63,141,Cloud Providers,Individual,2.5,199607.94,11.0,Low,2.4,38.0,0.14,83.0,2021-05-23,Intel Xeon,46.1
2003-06-12,OEM,Tesla T4,South America,250722.57,3834,Gamers,Business,2.7,143233.78,0.0,Medium,3.85,47.0,0.21,60.0,1993-09-30,AMD Radeon RX 7900,32.37
2024-05-18,Data Center,RTX 3080,South America,1634367.14,1115,AI Researchers,Individual,2.5,138934.52,17.0,Low,1.78,57.0,0.16,87.0,2008-05-22,Google TPU,64.36
2009-02-11,Data Center,Quadro P2200,North America,72003.83,4943,Gamers,Business,3.8,89229.39,25.0,High,3.39,71.0,0.18,51.0,2012-07-10,AMD Radeon RX 7900,60.47
2024-02-23,AI,Tesla T4,Middle East,778299.76,3099,Gamers,Individual,2.7,110820.07,8.0,Medium,1.57,37.0,0.07,74.0,2005-07-14,Intel Xeon,30.96
2009-10-26,Data Center,Quadro P2200,Europe,1042242.55,3542,Educational Institutions,Individual,1.2,79906.76,5.0,High,1.61,87.0,0.09,63.0,2009-11-17,Google TPU,33.29
2021-06-13,AI,Tesla T4,APAC,66824.01,3410,Gamers,Individual,2.3,120622.83,7.0,Low,3.08,82.0,0.19,63.0,1995-04-11,AMD Radeon RX 6800,42.45
1994-03-05,Gaming,Tesla V100,Europe,1297525.9,3571,Educational Institutions,Business,3.9,126561.29,9.0,Medium,1.87,31.0,0.1,53.0,2011-03-01,Intel Xeon,49.5
2010-01-02,OEM,Tesla T4,Middle East,201506.39,4880,Gamers,Business,1.1,51964.1,6.0,Medium,4.24,64.0,0.07,81.0,1999-08-18,AMD Radeon RX 7900,35.11
2008-05-05,Gaming,Quadro P2200,APAC,1674210.14,112,Cloud Providers,Individual,3.8,29024.85,10.0,High,4.43,10.0,0.28,63.0,2024-09-08,AMD Radeon RX 7900,64.14
2015-08-22,Gaming,Tesla T4,APAC,871258.95,762,Cloud Providers,Individual,4.7,108190.97,5.0,Medium,4.43,19.0,0.24,78.0,2003-03-05,Google TPU,31.63
2008-05-10,OEM,RTX 4090,North America,1697869.15,3914,Gamers,Business,4.9,161310.53,23.0,Low,1.24,74.0,0.14,79.0,1995-01-16,AMD Radeon RX 7900,67.33
2007-05-27,Gaming,Quadro P2200,Middle East,892306.96,4714,AI Researchers,Individual,4.6,194080.54,11.0,High,0.48,24.0,0.15,70.0,2001-02-04,Intel Xeon,54.72
1994-12-11,Data Center,Tesla T4,North America,1758586.81,4724,Gamers,Business,2.6,134998.63,20.0,Medium,3.49,55.0,0.19,82.0,2006-07-25,AMD Radeon RX 6800,40.39
2008-08-13,Gaming,Tesla V100,South America,308679.01,176,AI Researchers,Business,4.8,152612.47,12.0,High,2.83,69.0,0.06,60.0,2010-03-26,Intel Xeon,37.26
2006-06-24,AI,RTX 4090,Europe,1361055.3,4013,Cloud Providers,Individual,1.5,89187.31,16.0,Medium,2.88,43.0,0.25,66.0,1999-10-04,AMD Radeon RX 7900,56.17
2000-01-26,Gaming,RTX 3080,Europe,1823682.71,1189,Educational Institutions,Business,4.7,86959.25,15.0,High,1.89,54.0,0.16,68.0,2000-03-11,AMD Radeon RX 6800,39.61
2023-02-01,Gaming,Tesla V100,Africa,1356997.46,4841,Gamers,Business,1.7,158489.22,14.0,Low,1.02,34.0,0.16,87.0,1999-02-25,AMD Radeon RX 7900,68.9
2023-06-08,Gaming,Quadro P2200,Africa,790310.71,4969,Gamers,Business,2.6,98857.24,13.0,High,3.72,47.0,0.12,87.0,2011-10-10,AMD Radeon RX 7900,61.2
1997-06-01,OEM,Tesla T4,Europe,704096.67,3484,AI Researchers,Individual,1.1,148540.73,5.0,Low,0.16,21.0,0.22,75.0,1995-05-07,AMD Radeon RX 6800,53.3
2014-04-26,OEM,RTX 4090,North America,587538.53,4346,Gamers,Business,2.4,167306.56,8.0,Medium,4.83,48.0,0.17,56.0,2016-02-05,AMD Radeon RX 6800,30.83
2007-08-24,Data Center,Tesla T4,North America,1779550.35,1948,Gamers,Business,4.2,160346.93,23.0,Medium,0.86,11.0,0.25,89.0,1997-10-20,AMD Radeon RX 7900,44.49
2018-12-31,Data Center,Tesla T4,Europe,777181.25,4658,Gamers,Individual,1.8,72253.32,9.0,Low,0.3,25.0,0.2,53.0,2005-02-19,Google TPU,60.91
2002-05-15,Data Center,Tesla V100,APAC,1128808.36,3810,Gamers,Business,3.4,150847.99,2.0,Medium,1.57,56.0,0.27,72.0,1999-06-05,AMD Radeon RX 6800,54.49
2000-03-16,AI,Quadro P2200,Middle East,1404667.32,878,Cloud Providers,Individual,4.5,41130.98,0.0,Low,2.17,55.0,0.15,72.0,2010-01-15,Intel Xeon,66.48
2016-05-14,AI,Tesla V100,South America,1370616.93,2750,Gamers,Individual,1.8,74998.29,20.0,Medium,0.87,50.0,0.21,74.0,2018-07-16,Intel Xeon,56.67
2014-10-24,Gaming,RTX 3080,South America,1150308.71,2340,Cloud Providers,Individual,1.5,145427.14,8.0,Medium,1.08,83.0,0.21,76.0,2009-08-10,Intel Xeon,51.47
2010-07-15,Data Center,Tesla V100,South America,541325.98,555,Cloud Providers,Individual,3.8,106888.55,7.0,Medium,4.73,24.0,0.15,85.0,2013-07-17,Google TPU,54.79
2024-09-13,AI,RTX 4090,Europe,1548848.48,2026,Cloud Providers,Individual,4.6,197388.11,2.0,High,0.37,48.0,0.17,51.0,2003-01-20,Intel Xeon,48.71
2013-06-14,Data Center,RTX 3080,APAC,1605969.85,2155,AI Researchers,Individual,1.1,107585.09,19.0,High,0.15,52.0,0.19,52.0,1994-07-06,Intel Xeon,32.48
2018-02-22,Data Center,Tesla T4,Europe,693722.06,1082,AI Researchers,Individual,4.5,85883.27,8.0,High,3.6,77.0,0.2,81.0,2015-11-08,Intel Xeon,53.56
2018-07-02,AI,Quadro P2200,APAC,482266.15,2009,AI Researchers,Business,3.5,59399.75,16.0,Medium,4.84,68.0,0.07,60.0,2003-10-29,AMD Radeon RX 7900,37.17
2024-05-17,AI,Tesla V100,North America,241818.06,4193,Educational Institutions,Business,4.4,113426.31,20.0,High,3.67,10.0,0.19,52.0,2002-10-11,AMD Radeon RX 6800,52.7
1994-06-14,Gaming,Quadro P2200,Africa,113558.96,145,Cloud Providers,Individual,2.5,83614.57,19.0,Medium,3.26,37.0,0.06,73.0,2001-02-26,Intel Xeon,43.94
2004-11-13,AI,Tesla T4,South America,120287.53,1983,Gamers,Business,4.5,106699.38,20.0,Low,3.54,70.0,0.06,77.0,2010-10-14,Google TPU,37.51
2024-04-20,Data Center,RTX 3080,APAC,1345036.2,348,Cloud Providers,Business,4.8,55379.16,5.0,High,4.22,43.0,0.11,76.0,1998-03-24,Intel Xeon,57.57
1994-08-17,Gaming,Tesla V100,North America,881561.68,4413,Gamers,Individual,2.4,180622.3,19.0,High,3.86,12.0,0.17,66.0,2020-11-03,Intel Xeon,44.73
2021-10-18,OEM,Tesla T4,Europe,804195.13,223,AI Researchers,Individual,1.7,144797.24,9.0,Low,0.64,82.0,0.18,57.0,2005-04-24,AMD Radeon RX 7900,45.91
2015-02-08,Data Center,Tesla T4,South America,478619.03,384,Cloud Providers,Business,4.7,162328.45,9.0,Low,2.23,11.0,0.11,58.0,2017-10-18,AMD Radeon RX 7900,57.47
2008-11-06,OEM,Tesla V100,South America,1767492.33,1134,Cloud Providers,Individual,3.7,160915.45,8.0,Medium,4.15,81.0,0.26,81.0,2004-05-26,Google TPU,35.99
1993-12-28,AI,Tesla T4,Middle East,849864.23,2644,AI Researchers,Business,2.0,173528.64,15.0,High,0.92,63.0,0.25,84.0,2000-12-24,Google TPU,54.73
2000-09-05,Data Center,Tesla T4,South America,1707443.42,647,AI Researchers,Business,2.2,21732.66,24.0,Medium,2.37,70.0,0.15,52.0,2004-03-15,AMD Radeon RX 6800,35.61
2002-03-04,Gaming,RTX 3080,Europe,1869223.01,2278,Gamers,Business,2.7,23090.04,8.0,High,1.02,85.0,0.13,52.0,2023-05-31,Intel Xeon,38.88
2001-06-21,OEM,RTX 4090,Europe,1559269.14,4716,AI Researchers,Individual,1.0,50196.51,16.0,High,0.29,69.0,0.23,84.0,1995-08-08,Google TPU,67.41
2002-06-24,Gaming,RTX 3080,Africa,1180445.11,4815,Educational Institutions,Business,1.9,84642.37,0.0,High,3.25,20.0,0.16,72.0,2018-03-02,AMD Radeon RX 6800,51.87
1994-09-12,Gaming,Tesla V100,Middle East,1971401.08,2998,Gamers,Individual,1.5,105337.41,20.0,Low,2.91,87.0,0.26,88.0,2021-05-27,Google TPU,58.92
2018-12-27,AI,Tesla V100,Europe,1285887.17,4074,Cloud Providers,Individual,2.1,97091.98,17.0,Low,2.17,25.0,0.16,50.0,2022-01-09,Intel Xeon,44.65
2024-04-23,AI,Tesla T4,Middle East,1644673.93,443,Cloud Providers,Individual,2.9,179038.04,5.0,High,4.2,75.0,0.17,67.0,1997-02-10,AMD Radeon RX 7900,61.76
2000-06-23,Gaming,Tesla V100,APAC,1964332.54,1588,AI Researchers,Individual,2.4,32455.83,20.0,High,3.97,78.0,0.11,51.0,2008-01-22,AMD Radeon RX 7900,48.9
2016-10-01,OEM,RTX 3080,Europe,1013756.88,3573,Gamers,Individual,3.3,25344.54,15.0,Medium,1.47,74.0,0.18,56.0,2016-09-09,AMD Radeon RX 6800,56.03
2015-12-21,Gaming,RTX 3080,Europe,72397.69,1265,Gamers,Individual,1.7,170555.23,20.0,Medium,2.88,86.0,0.11,76.0,2022-02-01,AMD Radeon RX 7900,39.97
2011-10-31,AI,Tesla V100,North America,71671.4,2288,Cloud Providers,Individual,2.2,101882.92,10.0,Medium,3.16,49.0,0.23,63.0,2004-05-24,AMD Radeon RX 7900,68.68
2013-01-24,AI,Tesla T4,Africa,263965.86,436,Cloud Providers,Individual,4.7,15753.35,11.0,High,3.67,64.0,0.29,62.0,2021-07-09,Intel Xeon,57.51
2006-08-27,Gaming,Tesla V100,South America,294257.52,2510,AI Researchers,Individual,2.6,58900.1,13.0,Low,1.12,66.0,0.05,71.0,2015-06-14,AMD Radeon RX 6800,32.89
2002-04-29,AI,Tesla T4,APAC,1529868.32,4260,AI Researchers,Business,5.0,17071.75,12.0,Low,0.2,32.0,0.24,89.0,2008-03-21,Intel Xeon,45.69
2022-01-03,Gaming,Tesla V100,Europe,1350941.99,4239,Educational Institutions,Individual,3.0,83449.37,0.0,Medium,0.28,61.0,0.2,69.0,2012-10-31,Intel Xeon,42.07
2020-01-02,Gaming,RTX 4090,APAC,1026141.95,4035,Educational Institutions,Individual,4.5,125952.15,1.0,Medium,1.46,11.0,0.1,86.0,2018-04-14,Intel Xeon,69.16
